,Antecedent,Consequent,Confidence,Support Count,lift
0,['soda'],['other vegetables'],0.09979353062629043,145,0.8173019150307519
1,['soda'],['whole milk'],0.11975223675154852,174,0.7582956912879477
2,['soda'],['rolls/buns'],0.08327598072952512,121,0.7570221747605616
3,['soda'],['yogurt'],0.05987611837577426,87,0.697218956620008
4,['soda'],['root vegetables'],0.05437026841018582,79,0.7815007936807017
5,['soda'],"['other vegetables', 'whole milk']",0.01169993117687543,17,0.7885859017999417
6,['soda'],"['rolls/buns', 'whole milk']",0.01032346868547832,15,0.7390912054584312
7,['soda'],"['rolls/buns', 'other vegetables']",0.01169993117687543,17,1.108013102529032
8,['soda'],"['yogurt', 'whole milk']",0.009635237439779766,14,0.8633057353977523
9,['soda'],"['yogurt', 'other vegetables']",0.004817618719889883,7,0.5957523050058869
10,['soda'],"['yogurt', 'rolls/buns']",0.0034411562284927736,5,0.44008564655502025
11,['soda'],"['root vegetables', 'rolls/buns']",0.0027529249827942187,4,0.4789769362505802
12,['soda'],"['root vegetables', 'whole milk']",0.0034411562284927736,5,0.4556638995304192
13,['soda'],"['root vegetables', 'other vegetables']",0.0041293874741913286,6,0.7821268959028461
14,['soda'],"['root vegetables', 'yogurt']",0.0020646937370956643,3,0.48271894356503786
15,['soda'],"['yogurt', 'rolls/buns', 'whole milk']",0.0020646937370956643,3,1.5447006194081212
16,['yogurt'],['other vegetables'],0.09416342412451362,121,0.7711917433908578
17,['yogurt'],['soda'],0.06770428015564202,87,0.697218956620008
18,['yogurt'],['rolls/buns'],0.09105058365758754,117,0.8276973774413624
19,['yogurt'],['whole milk'],0.12996108949416343,167,0.8229402378760758
20,['yogurt'],['root vegetables'],0.049805447470817124,64,0.7158875220997469
21,['yogurt'],"['other vegetables', 'whole milk']",0.013229571984435798,17,0.8916850702842921
22,['yogurt'],"['soda', 'whole milk']",0.010894941634241245,14,0.9369023659376537
23,['yogurt'],"['soda', 'other vegetables']",0.005447470817120622,7,0.5621414195625922
24,['yogurt'],"['soda', 'rolls/buns']",0.0038910505836575876,5,0.4811718172170949
25,['yogurt'],"['rolls/buns', 'whole milk']",0.01556420233463035,20,1.1142926293448514
26,['yogurt'],"['rolls/buns', 'other vegetables']",0.007003891050583658,9,0.6632862138600207
27,['yogurt'],"['root vegetables', 'whole milk']",0.007782101167315175,10,1.0304741572259908
28,['yogurt'],"['root vegetables', 'rolls/buns']",0.0038910505836575876,5,0.6769975567821916
29,['yogurt'],"['root vegetables', 'soda']",0.0023346303501945525,3,0.4421908092400138
30,['yogurt'],"['root vegetables', 'other vegetables']",0.0031128404669260703,4,0.5895877456533517
31,['yogurt'],"['soda', 'rolls/buns', 'whole milk']",0.0023346303501945525,3,2.3288715953307393
32,['other vegetables'],['soda'],0.07936507936507936,145,0.8173019150307519
33,['other vegetables'],['yogurt'],0.0662287903667214,121,0.7711917433908578
34,['other vegetables'],['whole milk'],0.12151067323481117,222,0.7694304712706219
35,['other vegetables'],['root vegetables'],0.04324028461959496,79,0.6215219776781935
36,['other vegetables'],['rolls/buns'],0.08648056923918993,158,0.7861535586427697
37,['other vegetables'],"['soda', 'whole milk']",0.009304871373836891,17,0.8001654618777092
38,['other vegetables'],"['soda', 'rolls/buns']",0.009304871373836891,17,1.1506511600555487
39,['other vegetables'],"['yogurt', 'whole milk']",0.009304871373836891,17,0.8337053315372539
40,['other vegetables'],"['yogurt', 'soda']",0.0038314176245210726,7,0.658959792134584
41,['other vegetables'],"['yogurt', 'rolls/buns']",0.0049261083743842365,9,0.6299945265462507
42,['other vegetables'],"['root vegetables', 'soda']",0.003284072249589491,6,0.6220199122861716
43,['other vegetables'],"['root vegetables', 'whole milk']",0.005473453749315818,10,0.724772464168253
44,['other vegetables'],"['root vegetables', 'rolls/buns']",0.003284072249589491,6,0.5713903845419483
45,['other vegetables'],"['root vegetables', 'yogurt']",0.0021893814997263274,4,0.5118705528188287
46,['other vegetables'],"['rolls/buns', 'whole milk']",0.009852216748768473,18,0.7053527235015439
47,['whole milk'],['soda'],0.07363520947947524,174,0.7582956912879477
48,['whole milk'],['yogurt'],0.07067287346593314,167,0.8229402378760758
49,['whole milk'],['other vegetables'],0.09394837071519255,222,0.7694304712706219
50,['whole milk'],['root vegetables'],0.047820567075751164,113,0.6873574881406961
51,['whole milk'],['rolls/buns'],0.08844688954718578,209,0.8040284376030017
